timestamp,site,status,wager,odds,toWin,totalPayout
2026-04-01T02:58:36.783Z,draftkings,placed,2.00,-131,1.53,3.53,,
2026-04-01T03:03:39.061Z,fanduel,placed,33.00,+102,33.66,66.66,BET ID: O/1333990/0000170,"Luka Doncic Under, Luka Doncic - Assists, , +102, Cleveland Cavaliers @ Los Angeles Lakers, 10:41pm ET"
2026-04-01T03:03:48.112Z,draftkings,placed,31.00,+115,35.65,66.65,,
2026-04-01T03:04:23.860Z,fanduel,placed,2.00,-106,1.89,3.89,BET ID: O/1333990/0000171,"Dennis Schroder Under, Dennis Schroder - Points, , -106, Cleveland Cavaliers @ Los Angeles Lakers, 10:41pm ET"
2026-04-01T03:04:31.079Z,draftkings,placed,1.00,+135,1.35,2.35,,
2026-04-01T03:04:44.719Z,draftkings,placed,91.00,+124,112.84,203.84,,
2026-04-01T03:04:43.181Z,fanduel,placed,108.00,-112,96.43,204.43,BET ID: O/1333990/0000172,"Under, 1st Half Total Points, , -112, Cleveland Cavaliers @ Los Angeles Lakers, 10:41pm ET"
2026-04-01T03:05:08.502Z,draftkings,placed,3.00,+120,3.60,6.60,,
2026-04-01T03:05:06.988Z,fanduel,placed,4.00,-106,3.77,7.77,BET ID: O/1333990/0000173,"Dennis Schroder Under, Dennis Schroder - Points, , -106, Cleveland Cavaliers @ Los Angeles Lakers, 10:41pm ET"
2026-04-01T03:06:54.007Z,draftkings,placed,45.00,+115,51.75,96.75,,
2026-04-01T03:06:52.528Z,fanduel,placed,48.00,+102,48.96,96.96,BET ID: O/1333990/0000174,"Evan Mobley Under, Evan Mobley - Rebounds, , +102, Cleveland Cavaliers @ Los Angeles Lakers, 10:41pm ET"
2026-04-01T03:08:05.130Z,fanduel,placed,105.00,+116,121.80,226.80,BET ID: O/1333990/0000175,"Deandre Ayton, To Score 10+ Points, , +116, Cleveland Cavaliers @ Los Angeles Lakers, 10:41pm ET"
2026-04-01T03:08:08.639Z,draftkings,placed,117.00,-105,111.42,228.42,,
2026-04-01T03:10:36.947Z,draftkings,placed,45.00,+105,47.25,92.25,,
2026-04-01T03:10:35.259Z,fanduel,placed,42.00,+118,49.56,91.56,BET ID: O/1333990/0000176,"Jaxson Hayes Over, Jaxson Hayes - Rebounds, , +118, Cleveland Cavaliers @ Los Angeles Lakers, 10:41pm ET"
2026-04-01T03:10:55.584Z,fanduel,placed,68.00,-136,50.00,118.00,BET ID: O/1333990/0000177,"Deandre Ayton Under, Deandre Ayton - Rebounds, , -136, Cleveland Cavaliers @ Los Angeles Lakers, 10:41pm ET"
2026-04-01T03:11:00.463Z,draftkings,placed,46.00,+155,71.30,117.30,,
2026-04-01T03:13:59.110Z,fanduel,placed,70.00,+174,121.80,191.80,BET ID: O/1333990/0000178,"Dennis Schroder, 2+ Made Threes, , +174, Cleveland Cavaliers @ Los Angeles Lakers, 10:41pm ET"
2026-04-01T03:14:03.013Z,draftkings,placed,118.00,-154,76.62,194.62,,
2026-04-01T03:14:42.651Z,fanduel,placed,97.00,+128,124.16,221.16,BET ID: O/1333990/0000179,"Donovan Mitchell, To Score 20+ Points, , +128, Cleveland Cavaliers @ Los Angeles Lakers, 10:41pm ET"
2026-04-01T03:14:49.724Z,draftkings,placed,114.00,-105,108.57,222.57,,
2026-04-01T03:22:39.084Z,fanduel,placed,22.00,+220,48.40,70.40,BET ID: O/1333990/0000180,"Toumani Camara, To Record 6+ Rebounds, , +220, Portland Trail Blazers @ Los Angeles Clippers, 11:13pm ET"
2026-04-01T03:22:43.566Z,draftkings,placed,42.00,-140,30.00,72.00,,
2026-04-01T03:25:33.929Z,draftkings,placed,181.00,+154,278.74,459.74,,
2026-04-01T03:26:18.703Z,fanduel,placed,53.00,-106,50.00,103.00,BET ID: O/1333990/0000181,"Toumani Camara Over, Toumani Camara - Rebounds, , -106, Portland Trail Blazers @ Los Angeles Clippers, 11:13pm ET"
2026-04-01T03:26:23.418Z,draftkings,placed,46.00,+120,55.20,101.20,,
2026-04-01T03:26:58.448Z,draftkings,placed,46.00,+120,55.20,101.20,,
2026-04-01T03:26:58.919Z,fanduel,placed,97.00,+128,124.16,221.16,BET ID: O/1333990/0000182,"Austin Reaves, To Score 20+ Points, , +128, Cleveland Cavaliers @ Los Angeles Lakers, 10:41pm ET"
2026-04-01T03:27:01.865Z,draftkings,placed,116.00,-110,105.45,221.45,,
2026-04-01T03:27:59.391Z,fanduel,placed,57.00,-114,50.00,107.00,BET ID: O/1333990/0000183,"Donovan Clingan Under, Donovan Clingan - Rebounds, , -114, Portland Trail Blazers @ Los Angeles Clippers, 11:13pm ET"
2026-04-01T03:28:07.236Z,draftkings,placed,46.00,+130,59.80,105.80,,
2026-04-01T03:29:07.031Z,fanduel,placed,33.00,+106,34.98,67.98,BET ID: O/1333990/0000184,"Dennis Schroder Over, Dennis Schroder - Assists, , +106, Cleveland Cavaliers @ Los Angeles Lakers, 10:41pm ET"
2026-04-01T03:29:15.029Z,draftkings,placed,31.00,+114,35.34,66.34,,
2026-04-01T03:30:17.558Z,fanduel,placed,29.00,+172,49.88,78.88,BET ID: O/1333990/0000185,"Austin Reaves Over, Austin Reaves - Made Threes, , +172, Cleveland Cavaliers @ Los Angeles Lakers, 10:41pm ET"
2026-04-01T03:30:28.236Z,draftkings,placed,47.00,-154,30.51,77.51,,
